microcosmID,combination,temperature,richness,replicate,day,total_biomass
312,Colp,19,1,1,17,0
312,Colp,19,1,1,19,0
312,Colp,19,1,1,21,0
312,Colp,19,1,1,23,0
312,Colp,19,1,1,25,0
312,Colp,19,1,1,27,0
312,Colp,19,1,1,29,0
312,Colp,19,1,1,31,0
312,Colp,19,1,1,33,0
312,Colp,19,1,1,35,0
312,Colp,19,1,1,37,0
373,Colp,21,1,2,1,0.072607332
373,Colp,21,1,2,3,0.071540896
373,Colp,21,1,2,5,0.069030439
373,Colp,21,1,2,7,0.062185525
373,Colp,21,1,2,9,0.042973972
373,Colp,21,1,2,11,0.049410196
373,Colp,21,1,2,13,0.041213841
373,Colp,21,1,2,15,0.038075174
373,Colp,21,1,2,17,0.031159844
373,Colp,21,1,2,19,0.01619989
373,Colp,21,1,2,21,0.00964039
373,Colp,21,1,2,23,0.015005118
373,Colp,21,1,2,25,0.032824353
373,Colp,21,1,2,27,0.026283584
373,Colp,21,1,2,29,0.014942623
373,Colp,21,1,2,31,0.005624733
373,Colp,21,1,2,33,0.006168576
373,Colp,21,1,2,35,0.014744272
373,Colp,21,1,2,37,0.018080365
395,Colp,21,1,1,1,0.078334702
395,Colp,21,1,1,3,0.082037097
395,Colp,21,1,1,5,0.071254609
395,Colp,21,1,1,7,0.046650749
395,Colp,21,1,1,9,0.049579639
395,Colp,21,1,1,11,0.073739296
395,Colp,21,1,1,13,0.061748314
395,Colp,21,1,1,15,0.039065498
395,Colp,21,1,1,17,0.039061191
395,Colp,21,1,1,19,0.03968902
395,Colp,21,1,1,21,0.025261376
395,Colp,21,1,1,23,0.033965824
395,Colp,21,1,1,25,0.081229147
395,Colp,21,1,1,27,0.05367817
395,Colp,21,1,1,29,0.031865535
395,Colp,21,1,1,31,0.035195565
395,Colp,21,1,1,33,0.038059331
395,Colp,21,1,1,35,0.0319799
395,Colp,21,1,1,37,0.034217029
443,Colp,21,1,3,1,0.172522766
443,Colp,21,1,3,3,0.132376811
443,Colp,21,1,3,5,0.09353459
443,Colp,21,1,3,7,0.059596703
443,Colp,21,1,3,9,0.041888993
443,Colp,21,1,3,11,0.048181367
443,Colp,21,1,3,13,0.040654045
443,Colp,21,1,3,15,0.047535429
443,Colp,21,1,3,17,0.048151702
443,Colp,21,1,3,19,0.032842721
443,Colp,21,1,3,21,0.028935297
443,Colp,21,1,3,23,0.05609432
443,Colp,21,1,3,25,0.055083574
443,Colp,21,1,3,27,0.034774186
443,Colp,21,1,3,29,0.021447777
443,Colp,21,1,3,31,0.016730256
443,Colp,21,1,3,33,0.013288057
443,Colp,21,1,3,35,0.014765415
443,Colp,21,1,3,37,0.032192839
500,Colp,23,1,2,1,0.100251635
500,Colp,23,1,2,3,0.056527367
500,Colp,23,1,2,5,0.060195289
500,Colp,23,1,2,7,0.050387672
500,Colp,23,1,2,9,0.036142
500,Colp,23,1,2,11,0.036682036
500,Colp,23,1,2,13,0.04465839
500,Colp,23,1,2,15,0.038882959
500,Colp,23,1,2,17,0.016228894
500,Colp,23,1,2,19,0.031732019
500,Colp,23,1,2,21,0.025632494
500,Colp,23,1,2,23,0.018765956
500,Colp,23,1,2,25,0.01978897
500,Colp,23,1,2,27,0.0243756
500,Colp,23,1,2,29,0.025645264
500,Colp,23,1,2,31,0.018981396
500,Colp,23,1,2,33,0.006412659
500,Colp,23,1,2,35,0.006416898
500,Colp,23,1,2,37,0.007900311
542,Colp,23,1,1,1,0.088880175
542,Colp,23,1,1,3,0.039462156
542,Colp,23,1,1,5,0.044472548
542,Colp,23,1,1,7,0.048446156
542,Colp,23,1,1,9,0.046690778
542,Colp,23,1,1,11,0.03960476
542,Colp,23,1,1,13,0.030469089
542,Colp,23,1,1,15,0.028464226
542,Colp,23,1,1,17,0.044901392
542,Colp,23,1,1,19,0.041424299
542,Colp,23,1,1,21,0.028298987
542,Colp,23,1,1,23,0.021739687
542,Colp,23,1,1,25,0.028096989
542,Colp,23,1,1,27,0.026268509
542,Colp,23,1,1,29,0.0115797
542,Colp,23,1,1,31,0.016575548
542,Colp,23,1,1,33,0.013591428
542,Colp,23,1,1,35,0.010883632
542,Colp,23,1,1,37,0.008208345
593,Colp,23,1,3,1,0.090833237
593,Colp,23,1,3,3,0.055769376
593,Colp,23,1,3,5,0.068137209
593,Colp,23,1,3,7,0.036954986
593,Colp,23,1,3,9,0.019400978
593,Colp,23,1,3,11,0.03238891
593,Colp,23,1,3,13,0.04825466
593,Colp,23,1,3,15,0.051839479
593,Colp,23,1,3,17,0.047964491
593,Colp,23,1,3,19,0.038136286
593,Colp,23,1,3,21,0.026786723
593,Colp,23,1,3,23,0.020383409
593,Colp,23,1,3,25,0.013773036
593,Colp,23,1,3,27,0.011204633
593,Colp,23,1,3,29,0.018164689
593,Colp,23,1,3,31,0.025086925
593,Colp,23,1,3,33,0.013436164
593,Colp,23,1,3,35,0.013283763
593,Colp,23,1,3,37,0.013273674
623,Colp,25,1,3,1,0.041850883
623,Colp,25,1,3,3,0.033224981
623,Colp,25,1,3,5,0.024408371
623,Colp,25,1,3,7,0.017650052
623,Colp,25,1,3,9,0.022704445
623,Colp,25,1,3,11,0.024997978
623,Colp,25,1,3,13,0.011492406
623,Colp,25,1,3,15,0.006087789
623,Colp,25,1,3,17,0.006270459
623,Colp,25,1,3,19,0.005982046
623,Colp,25,1,3,21,0.008847167
623,Colp,25,1,3,23,0.00770047
623,Colp,25,1,3,25,0.003630216
623,Colp,25,1,3,27,0.001295203
623,Colp,25,1,3,29,8.59E-05
623,Colp,25,1,3,31,0.000439161
623,Colp,25,1,3,33,0.00232252
623,Colp,25,1,3,35,0.004927605
623,Colp,25,1,3,37,0.007388344
676,Colp,25,1,2,1,0.040121824
676,Colp,25,1,2,3,0.03370231
676,Colp,25,1,2,5,0.034331229
676,Colp,25,1,2,7,0.040543812
676,Colp,25,1,2,9,0.027522418
676,Colp,25,1,2,11,0.021055062
676,Colp,25,1,2,13,0.01878365
676,Colp,25,1,2,15,0.020729891
676,Colp,25,1,2,17,0.019605491
676,Colp,25,1,2,19,0.013044622
676,Colp,25,1,2,21,0.009134023
676,Colp,25,1,2,23,0.015735588
676,Colp,25,1,2,25,0.022808286
676,Colp,25,1,2,27,0.020570313
676,Colp,25,1,2,29,0.016029351
676,Colp,25,1,2,31,0.01749424
676,Colp,25,1,2,33,0.023860565
676,Colp,25,1,2,35,0.03221979
676,Colp,25,1,2,37,0.040180435
708,Colp,25,1,1,1,0.03594218
708,Colp,25,1,1,3,0.044001769
708,Colp,25,1,1,5,0.035189066
708,Colp,25,1,1,7,0.014238292
708,Colp,25,1,1,9,0.045605132
708,Colp,25,1,1,11,0.027999847
708,Colp,25,1,1,13,0.011150187
708,Colp,25,1,1,15,0.009169449
708,Colp,25,1,1,17,0.014982481
708,Colp,25,1,1,19,0.016046295
708,Colp,25,1,1,21,0.016584893
708,Colp,25,1,1,23,0.014750677
708,Colp,25,1,1,25,0.014554097
708,Colp,25,1,1,27,0.023408292
708,Colp,25,1,1,29,0.034043682
708,Colp,25,1,1,31,0.036649705
708,Colp,25,1,1,33,0.032511155
708,Colp,25,1,1,35,0.02555536
708,Colp,25,1,1,37,0.019163014
77,"Colp, Dexio",15,2,1,1,0.143586825
77,"Colp, Dexio",15,2,1,3,0.129460046
77,"Colp, Dexio",15,2,1,5,0.178216755
77,"Colp, Dexio",15,2,1,7,0.155612876
